ncode,proba_0,proba_1,proba_2,proba_3,proba_4
N0001HE,0.8421052631578947,0.15789473684210525,0.0,0.0,0.0
N0002HE,0.07407407407407407,0.7777777777777778,0.1111111111111111,0.037037037037037035,0.0
N0004HF,0.6021829515834559,0.3683837819144,0.023715240961367,0.0045044401009384,0.0012135854398385
N0005HE,1.0,0.0,0.0,0.0,0.0
N0006HF,0.0,0.875,0.125,0.0,0.0
N0007HE,0.25,0.75,0.0,0.0,0.0
N0009HE,0.0,1.0,0.0,0.0,0.0
N0009HF,0.7211997603907354,0.2431740555182489,0.0256950547597919,0.0076360140832747,0.0022951152479488
N0012HE,0.7195207761096585,0.2467346623697402,0.0273298019993638,0.0051442943697951,0.001270465151442
N0013HF,0.7284859760113395,0.2456479506842059,0.0184541254936977,0.0056346972365062,0.0017772505742507
N0014HF,0.5864116304532644,0.3901703876156511,0.0195712562295434,0.0029871611567531,0.0008595645447878
N0016HE,0.8533333333333334,0.10666666666666667,0.04,0.0,0.0
N0017HE,0.788527117686294,0.19997472140372,0.0090274927509473,0.0019204415279303,0.0005502266311083
N0018HF,0.7781622934918374,0.2060402694464288,0.0125738702058713,0.0024728944284406,0.0007506724274218
N0021HF,0.7515493992789336,0.2382716009455557,0.0085179809335868,0.0012623752675033,0.0003986435744204
N0022HE,0.7575757575757576,0.24242424242424243,0.0,0.0,0.0
N0024HE,0.6453068909920822,0.3170850378464065,0.0303466808586432,0.00565063478292,0.0016107555199479
N0025HE,0.4054456587668917,0.4178516883387457,0.1241836892810998,0.0427443585506835,0.0097746050625791
N0025HF,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0
N0026HE,0.0,0.4,0.6,0.0,0.0
N0026HF,0.7165102438856755,0.2627135822322486,0.0159767436507585,0.0036336018062059,0.0011658284251112
N0027HE,0.7639875242095907,0.2165795380822067,0.0151491372283137,0.0034774306847709,0.0008063697951178
N0027HF,0.0,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.0
N0029HF,0.0,0.5,0.0,0.5,0.0
N0032HF,1.0,0.0,0.0,0.0,0.0
N0034HE,0.5277743880422859,0.3728321711615344,0.0693751140824774,0.0234744451327832,0.0065438815809189
N0035HF,0.8618255617571938,0.1296221045978403,0.0063590286917133,0.0016942245687403,0.0004990803845121
N0037HE,0.1708898395842995,0.4878960671452473,0.2282387102286183,0.0895328560787648,0.0234425269630699
N0039HE,0.0,0.8,0.2,0.0,0.0
N0040HE,0.2566016883292529,0.5999826329062471,0.115137254213306,0.022526858750056,0.0057515658011378
